City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
971,Grand-Santi,GF,4.25,-54.3833,77.31,93,12,4.07,few clouds
972,Dwarka,IN,22.2394,68.9678,82.72,77,33,12.86,scattered clouds
973,San Quintin,MX,30.4833,-115.95,64.92,58,7,21.23,clear sky
974,Umm Lajj,SA,25.0213,37.2685,84.09,33,4,8.95,clear sky
975,Swinoujscie,PL,53.9105,14.2471,64.18,95,100,6.26,light rain
976,Fuzhou,CN,26.0614,119.3061,66.09,99,100,0.56,overcast clouds
977,Viedma,AR,-40.8135,-62.9967,55.4,64,1,10.36,clear sky
978,Nacala,MZ,-14.5428,40.6728,69.8,90,5,6.44,clear sky
979,Rock Springs,US,41.5875,-109.2029,62.04,22,20,29.93,few clouds
980,Bulawayo,ZW,-20.15,28.5833,59.13,58,0,6.06,clear sky
981,Ust-Kuyga,RU,70.0167,135.6,8.94,93,100,8.08,overcast clouds
982,Russkaya Polyana,UA,49.417,31.9201,44.78,61,98,3.74,overcast clouds
983,Dandong,CN,40.1292,124.3947,52.27,79,91,3.29,overcast clouds
984,Sarahan,IN,31.5167,77.8,57.15,60,16,5.95,few clouds
985,Bojnurd,IR,37.4747,57.329,55.35,88,100,0.0,overcast clouds
986,Naze,JP,28.3667,129.4833,67.12,73,95,4.94,moderate rain
987,Imbituba,BR,-28.24,-48.6703,72.86,86,8,11.56,moderate rain
988,Kurchum,KZ,48.5722,83.6542,54.55,39,88,7.78,overcast clouds
989,Kitimat,CA,54.0524,-128.6534,50.92,56,100,6.53,overcast clouds
990,Sampit,ID,-2.5333,112.95,76.39,94,100,0.27,overcast clouds
991,Rabat,MA,33.9911,-6.8401,69.87,46,4,5.75,clear sky
992,Batemans Bay,AU,-35.7167,150.1833,58.1,83,100,1.92,heavy intensity rain
993,Presque Isle,US,46.6811,-68.0159,73.83,22,0,10.36,haze
994,Tondon,GN,10.3667,-13.35,82.94,71,86,5.46,overcast clouds
995,Zaysan,KZ,47.4667,84.8667,56.55,23,30,7.18,scattered clouds
